Day_of_Month,Month,year,Airline,Origin,Destination,Departure_Delay,Arrival_Delay,Cancelled,Rain_at_Origin,Rain_at_Dest,Incentive_Pay,Time_in_Air
15,9,2012,United,SFO,DEN,0,9,0,0,0,0,118
17,4,2012,United,ORD,BOS,8,-1,0,1,0,0,110
15,5,2012,United,LAX,SFO,64,62,0,0,1,0,55
17,10,2012,United,ORD,DEN,10,-5,0,1,0,1,111
2,3,2012,United,SFO,LAS,136,147,0,1,0,0,71
7,2,2012,United,ORD,LAX,5,-14,0,0,0,0,226
21,4,2012,United,SFO,LAX,91,116,0,0,0,0,58
24,7,2012,United,JFK,LAX,0,13,0,1,0,0,326
19,7,2012,United,LAX,SFO,9,1,0,0,0,0,53
15,9,2012,United,ORD,DEN,1,-10,0,0,0,0,112
12,12,2012,United,LAS,DEN,-2,-13,0,0,0,1,80
17,3,2012,United,SFO,LAX,0,5,0,0,0,0,51
9,6,2012,United,EWR,LAX,0,39,0,0,0,0,312
4,8,2012,United,ORD,ATL,,,1,0,0,0,
19,6,2012,United,ORD,LAX,0,18,0,0,0,0,222
14,1,2012,United,LAX,MCO,0,12,0,0,0,0,249
14,8,2012,United,LAX,DEN,7,20,0,0,0,0,113
6,7,2012,United,ORD,EWR,17,16,0,0,0,0,93
6,11,2012,United,LAX,EWR,-2,1,0,0,0,1,275
29,8,2012,United,SFO,LAX,0,6,0,1,1,0,63
30,8,2012,United,LAX,EWR,91,101,0,0,0,0,287
26,4,2012,United,LAX,SFO,0,9,0,0,0,0,63
8,11,2012,United,SFO,ORD,4,-8,0,0,0,1,200
14,4,2012,United,EWR,ORD,0,-13,0,0,0,0,109
14,11,2012,United,ORD,SFO,0,2,0,0,1,1,258
20,1,2012,United,ORD,BOS,,,1,0,0,0,
22,2,2012,United,SFO,ORD,1,-7,0,1,0,0,203
3,3,2012,United,LAX,SFO,9,4,0,0,0,0,50
6,10,2012,United,ORD,SFO,12,33,0,1,0,1,244
18,4,2012,United,ORD,LAX,0,18,0,0,1,0,236
30,10,2012,United,SFO,DEN,-2,-7,0,1,0,1,123
5,9,2012,United,SFO,ORD,0,4,0,0,0,0,212
17,4,2012,United,SFO,MIA,5,4,0,1,1,0,287
3,2,2012,United,SFO,LAS,95,92,0,1,0,0,60
7,11,2012,United,ORD,EWR,13,12,0,1,0,1,91
5,7,2012,United,LAX,DEN,0,-19,0,0,0,0,102
23,11,2012,United,SFO,LAX,75,73,0,0,0,1,51
4,4,2012,United,LAX,SFO,2,-4,0,0,0,0,48
10,2,2012,United,BOS,SFO,0,31,0,0,1,0,369
31,1,2012,United,LAX,LAS,0,0,0,1,0,0,40
4,9,2012,United,LAX,SFO,0,3,0,0,0,0,52
18,5,2012,United,ORD,LAX,,,1,0,0,0,
4,1,2012,United,SFO,LAX,56,39,0,0,0,0,52
14,6,2012,United,SFO,LAS,22,28,0,0,0,0,69
24,3,2012,United,SFO,EWR,0,2,0,0,0,0,286
21,1,2012,United,EWR,ORD,0,30,0,0,0,0,119
15,12,2012,United,SFO,DFW,35,17,0,1,1,1,161
3,8,2012,United,LAX,DEN,36,55,0,0,1,0,123
21,6,2012,United,SFO,BOS,3,29,0,0,0,0,324
1,11,2012,United,SFO,LAS,42,54,0,0,0,1,67
1,11,2012,United,EWR,SFO,-2,-4,0,0,0,1,340
20,3,2012,United,SFO,EWR,0,55,0,0,0,0,334
10,1,2012,United,LAS,LAX,117,112,0,0,0,0,44
4,8,2012,United,LAS,DEN,24,35,0,0,0,0,96
24,10,2012,United,ORD,DEN,,,1,1,0,1,
20,3,2012,United,SFO,LAS,203,220,0,0,0,0,69
30,6,2012,United,BOS,ORD,403,389,0,1,0,0,121
13,10,2012,United,ORD,BOS,-2,-12,0,1,0,1,109
7,2,2012,United,SFO,JFK,0,-10,0,0,0,0,290
22,9,2012,United,LAX,SFO,52,54,0,0,1,0,62
29,5,2012,United,ORD,DEN,9,-2,0,1,0,0,128
15,5,2012,United,ORD,DFW,18,4,0,0,0,0,108
14,3,2012,United,LAS,DEN,72,67,0,0,0,0,80
27,6,2012,United,LAX,JFK,75,51,0,0,1,0,267
8,2,2012,United,ORD,BOS,0,2,0,0,0,0,118
2,3,2012,United,LAX,JFK,4,4,0,0,0,0,284
1,6,2012,United,ORD,EWR,18,15,0,1,0,0,91
7,4,2012,United,ORD,MCO,51,55,0,0,0,0,128
21,6,2012,United,ORD,EWR,31,135,0,1,0,0,129
17,5,2012,United,LAX,SFO,35,28,0,0,0,0,58
8,9,2012,United,SFO,ORD,3,1,0,0,0,0,203
29,6,2012,United,LAX,SFO,81,64,0,0,0,0,53
21,12,2012,United,SFO,LAX,87,95,0,0,0,1,57
8,11,2012,United,ORD,DEN,41,24,0,0,0,1,117
5,10,2012,United,SFO,DEN,61,71,0,0,0,1,116
15,3,2012,United,LAX,LAS,3,5,0,0,0,0,40
7,3,2012,United,SFO,LAX,0,6,0,1,0,0,53
25,12,2012,United,ORD,SFO,7,1,0,0,0,1,218
5,10,2012,United,JFK,LAX,20,39,0,0,0,1,341
31,5,2012,United,LAX,ORD,111,150,0,0,0,0,197
6,6,2012,United,SFO,DEN,0,9,0,0,0,0,117
2,6,2012,United,JFK,LAX,,,1,1,0,0,
10,7,2012,United,ORD,ATL,0,-9,0,0,0,0,86
8,11,2012,United,ORD,EWR,,,1,0,0,1,
15,9,2012,United,EWR,DEN,0,14,0,1,0,0,211
25,8,2012,United,ORD,DEN,135,135,0,0,0,0,113
17,5,2012,United,EWR,SFO,26,42,0,0,0,0,346
2,6,2012,United,EWR,LAX,,,1,0,0,0,
22,5,2012,United,LAX,SFO,18,14,0,0,0,0,49
24,7,2012,United,SFO,LAX,7,6,0,0,0,0,56
2,2,2012,United,ORD,DFW,0,-6,0,0,0,0,106
11,7,2012,United,ORD,DEN,7,17,0,1,0,0,133
7,2,2012,United,LAX,DFW,0,-14,0,0,0,0,149
11,1,2012,United,EWR,LAX,0,10,0,0,0,0,345
16,11,2012,United,LAX,SFO,11,-6,0,0,1,1,50
29,5,2012,United,LAS,SFO,0,-10,0,0,0,0,67
12,5,2012,United,BOS,ORD,0,11,0,0,1,0,130
3,8,2012,United,LAX,ORD,6,27,0,0,1,0,217
18,4,2012,United,LAX,SFO,0,4,0,1,0,0,59
3,1,2012,United,SFO,LAX,0,-6,0,0,0,0,53
4,2,2012,United,ORD,LAX,12,5,0,0,0,0,237
28,11,2012,United,SFO,ORD,28,27,0,0,0,1,207
28,2,2012,United,SFO,BOS,0,-8,0,1,1,0,301
19,1,2012,United,LAX,LAS,27,22,0,0,0,0,41
7,2,2012,United,BOS,SFO,0,-32,0,0,0,0,345
22,3,2012,United,SFO,LAS,0,4,0,0,0,0,66
20,9,2012,United,LAX,DEN,12,12,0,0,0,0,109
15,9,2012,United,SFO,ORD,9,12,0,0,0,0,208
24,2,2012,United,ORD,DEN,31,33,0,1,0,0,132
22,2,2012,United,LAS,DEN,165,160,0,1,0,0,81
17,7,2012,United,ORD,DEN,,,1,0,1,0,
4,7,2012,United,ORD,MCO,3,-11,0,0,0,0,121
28,12,2012,United,LAX,EWR,-2,-8,0,0,0,1,279
1,2,2012,United,LAS,ORD,0,13,0,0,0,0,201
3,1,2012,United,LAX,ORD,37,41,0,0,0,0,210
14,8,2012,United,ORD,DEN,17,8,0,0,0,0,116
14,6,2012,United,JFK,LAX,,,1,0,0,0,
28,2,2012,United,SFO,ORD,0,-9,0,1,0,0,207
4,2,2012,United,LAX,JFK,0,18,0,0,0,0,284
31,8,2012,United,SFO,LAS,0,8,0,0,1,0,66
4,1,2012,United,LAX,DEN,9,33,0,0,0,0,106
16,2,2012,United,LAX,SFO,5,-13,0,1,1,0,51
28,9,2012,United,ORD,EWR,1,12,0,0,0,0,96
26,1,2012,United,SFO,EWR,1,5,0,1,0,0,298
18,5,2012,United,ORD,BOS,18,49,0,0,0,0,124
25,1,2012,United,LAX,ORD,0,-16,0,1,0,0,185
4,4,2012,United,LAX,SFO,0,-7,0,0,0,0,52
23,3,2012,United,LAX,MCO,0,17,0,0,1,0,258
4,4,2012,United,EWR,ORD,0,-26,0,1,0,0,108
13,3,2012,United,SFO,LAX,0,-17,0,0,0,0,52
7,3,2012,United,SFO,DEN,,,1,1,0,0,
26,12,2012,United,ORD,LAS,57,26,0,0,0,1,177
14,4,2012,United,ORD,LAX,9,13,0,0,1,0,232
21,6,2012,United,LAX,SFO,3,19,0,0,0,0,75
6,7,2012,United,ORD,EWR,0,-28,0,0,0,0,87
18,8,2012,United,SFO,LAX,18,48,0,0,0,0,60
11,1,2012,United,ORD,LAX,18,10,0,0,0,0,223
22,8,2012,United,SFO,ORD,12,20,0,0,0,0,219
8,12,2012,United,LAX,SFO,-2,-10,0,1,0,1,57
19,6,2012,United,SFO,LAX,0,-11,0,0,0,0,54
15,5,2012,United,ORD,MIA,14,24,0,0,0,0,155
26,9,2012,United,LAS,DEN,74,68,0,0,0,0,79
19,5,2012,United,BOS,DEN,9,0,0,1,0,0,234
20,10,2012,United,JFK,SFO,-2,-29,0,0,1,1,319
30,5,2012,United,LAX,ATL,1,7,0,0,0,0,235
5,7,2012,United,LAS,DEN,19,9,0,0,0,0,73
26,4,2012,United,LAX,ORD,0,5,0,0,0,0,212
9,11,2012,United,LAX,ORD,29,9,0,0,1,1,187
24,4,2012,United,BOS,SFO,4,5,0,1,0,0,350
13,9,2012,United,ORD,EWR,0,-14,0,1,1,0,90
12,4,2012,United,ORD,LAS,15,1,0,0,0,0,188
20,10,2012,United,ORD,DEN,3,-7,0,0,0,1,111
12,9,2012,United,ORD,MCO,72,67,0,1,0,0,127
11,2,2012,United,LAX,ORD,0,-1,0,1,0,0,195
14,12,2012,United,SFO,ORD,43,41,0,1,0,1,207
31,7,2012,United,JFK,LAX,0,-32,0,1,0,0,293
7,3,2012,United,LAX,SFO,,,1,0,1,0,
3,4,2012,United,SFO,DEN,0,-4,0,0,0,0,126
3,2,2012,United,EWR,ORD,0,-18,0,0,0,0,104
9,6,2012,United,LAS,LAX,12,13,0,0,0,0,43
18,5,2012,United,BOS,SFO,104,92,0,0,0,0,331
25,7,2012,United,EWR,ORD,244,223,0,0,0,0,104
17,11,2012,United,LAX,EWR,33,7,0,0,0,1,271
16,3,2012,United,SFO,LAX,5,0,0,0,0,0,50
10,3,2012,United,LAX,SFO,5,-5,0,0,0,0,54
5,9,2012,United,ORD,SFO,0,4,0,0,0,0,249
5,12,2012,United,EWR,ORD,-2,26,0,0,0,1,115
27,10,2012,United,SFO,LAX,36,78,0,1,1,1,52
22,9,2012,United,LAX,ORD,6,20,0,0,1,0,223
24,8,2012,United,ORD,LAX,2,-15,0,0,0,0,196
18,4,2012,United,ORD,EWR,1,0,0,0,1,0,104
6,12,2012,United,ORD,EWR,9,-10,0,0,0,1,94
7,2,2012,United,ORD,LAX,16,-2,0,0,0,0,211
27,11,2012,United,ORD,LAS,39,31,0,1,0,1,204
26,5,2012,United,SFO,JFK,41,49,0,1,0,0,277
13,1,2012,United,ORD,EWR,20,13,0,0,1,0,91
2,8,2012,United,SFO,BOS,5,11,0,0,1,0,303
25,1,2012,United,ORD,LAX,0,13,0,0,1,0,258
19,7,2012,United,ORD,LAX,10,23,0,1,0,0,239
11,8,2012,United,LAX,ORD,14,14,0,0,0,0,196
8,2,2012,United,SFO,JFK,0,1,0,0,0,0,283
27,10,2012,United,ORD,DEN,-2,-17,0,0,0,1,116
21,11,2012,United,JFK,LAX,-2,-4,0,0,0,1,336
3,11,2012,United,ORD,LAS,-2,12,0,1,0,1,211
5,5,2012,United,BOS,SFO,3,-10,0,1,0,0,340
13,1,2012,United,ORD,DEN,14,34,0,0,0,0,133
10,1,2012,United,SFO,EWR,,,1,1,1,0,
25,1,2012,United,EWR,ORD,,,1,0,0,0,
31,10,2012,United,ORD,EWR,-2,-17,0,0,0,1,101
14,7,2012,United,LAX,DEN,4,-3,0,0,0,0,114
24,3,2012,United,LAX,JFK,12,11,0,0,0,0,277
10,8,2012,United,ORD,DFW,57,51,0,0,0,0,110
4,8,2012,United,LAX,ORD,21,13,0,0,0,0,193
30,6,2012,United,SFO,EWR,0,-4,0,0,1,0,295
10,5,2012,United,SFO,LAX,4,7,0,1,0,0,54
4,8,2012,United,LAX,JFK,0,-10,0,0,1,0,283
24,4,2012,United,SFO,BOS,0,-9,0,0,1,0,301
23,2,2012,United,LAX,ORD,0,19,0,1,0,0,201
4,12,2012,United,EWR,DEN,-2,-14,0,0,0,1,217
9,6,2012,United,LAX,JFK,87,86,0,0,0,0,281
1,12,2012,United,ORD,DEN,-1,-1,0,1,0,1,124
10,7,2012,United,SFO,LAX,1,3,0,0,0,0,59
6,1,2012,United,SFO,LAS,0,-1,0,0,0,0,62
12,1,2012,United,SFO,JFK,0,-43,0,1,0,0,256
7,6,2012,United,SFO,LAS,0,-4,0,0,0,0,68
16,2,2012,United,SFO,DEN,1,-3,0,1,0,0,117
5,10,2012,United,SFO,LAX,10,25,0,0,0,1,63
27,9,2012,United,JFK,LAX,0,-8,0,1,0,0,306
23,8,2012,United,SFO,EWR,87,73,0,0,1,0,276
1,3,2012,United,EWR,ORD,0,21,0,1,0,0,113
9,2,2012,United,SFO,DEN,84,71,0,0,0,0,107
21,9,2012,United,SFO,ORD,32,16,0,1,1,0,188
19,10,2012,United,SFO,EWR,-2,3,0,1,1,1,313
22,5,2012,United,ORD,SFO,2,4,0,0,0,0,236
9,11,2012,United,LAX,SFO,2,8,0,0,0,1,58
12,9,2012,United,ORD,EWR,,,1,1,0,0,
13,12,2012,United,LAS,DEN,64,63,0,0,0,1,83
19,5,2012,United,ORD,LAX,201,193,0,1,0,0,220
5,10,2012,United,LAX,LAS,0,-11,0,0,1,1,43
24,11,2012,United,ORD,MCO,-2,-17,0,0,0,1,122
17,4,2012,United,LAX,BOS,2,1,0,1,0,0,285
11,5,2012,United,ORD,BOS,13,81,0,0,1,0,107
24,1,2012,United,SFO,DEN,6,1,0,1,0,0,106
31,5,2012,United,SFO,ORD,2,90,0,0,0,0,292
1,11,2012,United,SFO,ORD,0,-5,0,0,0,1,214
21,12,2012,United,ORD,DEN,12,-4,0,0,0,1,120
15,2,2012,United,LAX,SFO,27,20,0,0,1,0,53
11,4,2012,United,LAX,JFK,0,13,0,0,1,0,290
8,2,2012,United,LAX,SFO,,,1,0,0,0,
17,8,2012,United,EWR,LAX,2,7,0,0,0,0,312
4,2,2012,United,SFO,LAX,,,1,1,0,0,
7,3,2012,United,LAX,DEN,0,-8,0,0,0,0,108
1,12,2012,United,LAX,MIA,-2,-8,0,0,0,1,256
21,2,2012,United,LAX,SFO,47,74,0,1,1,0,62
22,6,2012,United,SFO,LAX,6,3,0,0,0,0,54
24,8,2012,United,LAX,SFO,0,-10,0,0,0,0,49
13,11,2012,United,EWR,LAX,-2,6,0,0,0,1,323
16,5,2012,United,LAX,SFO,4,34,0,0,1,0,90
8,2,2012,United,LAS,ORD,3,-15,0,0,0,0,171
20,9,2012,United,LAX,SFO,50,47,0,0,0,0,52
16,3,2012,United,LAS,LAX,0,-14,0,0,0,0,41
5,5,2012,United,SFO,LAX,,,1,0,0,0,
22,2,2012,United,LAS,DEN,0,-5,0,1,0,0,82
23,3,2012,United,ORD,LAX,0,-1,0,0,0,0,228
2,3,2012,United,SFO,LAX,0,0,0,1,0,0,56
28,4,2012,United,ORD,LAS,5,-3,0,0,0,0,185
5,12,2012,United,ORD,DEN,28,17,0,0,0,1,118
27,6,2012,United,EWR,LAX,1,3,0,0,0,0,318
21,3,2012,United,JFK,LAX,0,-12,0,0,0,0,312
7,12,2012,United,EWR,SFO,57,35,0,0,0,1,338
17,8,2012,United,SFO,BOS,205,197,0,0,1,0,283
21,6,2012,United,ORD,EWR,6,15,0,1,0,0,106
1,9,2012,United,LAX,LAS,12,7,0,0,0,0,41
1,2,2012,United,SFO,LAX,,,1,1,0,0,
7,8,2012,United,LAS,DEN,0,24,0,0,0,0,86
2,11,2012,United,LAX,SFO,0,-2,0,0,0,1,53
17,7,2012,United,ORD,DEN,124,142,0,0,1,0,120
16,10,2012,United,ORD,SFO,34,15,0,0,0,1,230
3,11,2012,United,SFO,BOS,-2,-15,0,0,0,1,292
23,6,2012,United,SFO,LAX,101,105,0,0,0,0,66
15,5,2012,United,ORD,BOS,41,42,0,0,0,0,110
20,9,2012,United,EWR,LAX,0,2,0,0,0,0,326
14,8,2012,United,ORD,LAX,0,4,0,0,0,0,217
1,11,2012,United,ORD,SFO,0,-18,0,0,0,1,226
27,10,2012,United,ORD,LAX,58,59,0,0,1,1,231
17,10,2012,United,SFO,DEN,4,2,0,0,0,1,123
26,10,2012,United,ORD,LAX,9,44,0,0,1,1,224
25,10,2012,United,EWR,SFO,-2,-4,0,0,1,1,333
13,1,2012,United,SFO,DEN,16,4,0,1,0,0,105
21,9,2012,United,ORD,DEN,8,13,0,1,0,0,128
27,4,2012,United,ORD,MIA,0,-1,0,0,0,0,144
31,5,2012,United,LAS,SFO,0,-6,0,0,0,0,63
22,3,2012,United,JFK,SFO,1,-18,0,0,0,0,337
10,10,2012,United,EWR,SFO,-2,-8,0,0,1,1,340
26,12,2012,United,ORD,LAX,7,-23,0,0,0,1,210
10,4,2012,United,LAX,DEN,0,-15,0,0,0,0,104
23,11,2012,United,SFO,DEN,37,24,0,0,0,1,113
21,12,2012,United,JFK,LAX,11,12,0,0,0,1,331
1,12,2012,United,ORD,LAX,-2,8,0,1,0,1,248
8,9,2012,United,JFK,LAX,0,18,0,0,0,0,322
29,3,2012,United,LAX,ORD,0,0,0,0,0,0,202
3,7,2012,United,LAX,LAS,3,12,0,0,0,0,41
29,11,2012,United,SFO,LAS,19,18,0,1,0,1,62
26,5,2012,United,SFO,LAX,281,268,0,1,0,0,47
18,2,2012,United,ORD,MCO,,,1,0,0,0,
18,10,2012,United,ORD,LAX,-2,1,0,0,0,1,236
22,3,2012,United,LAX,DEN,0,-6,0,0,0,0,112
21,2,2012,United,LAX,MCO,0,8,0,1,0,0,249
1,9,2012,United,LAX,SFO,,,1,0,1,0,
8,8,2012,United,SFO,MIA,41,54,0,1,0,0,302
16,10,2012,United,ORD,DEN,4,1,0,0,0,1,120
8,3,2012,United,LAX,DFW,19,36,0,1,0,0,143
18,12,2012,United,SFO,LAS,-2,-10,0,0,0,1,63
15,3,2012,United,ORD,DFW,207,209,0,1,0,0,116
1,9,2012,United,JFK,BOS,7,21,0,0,0,0,39
31,1,2012,United,LAX,SFO,0,-4,0,1,1,0,55
24,8,2012,United,ORD,ATL,34,25,0,0,0,0,84
20,4,2012,United,ORD,BOS,,,1,1,1,0,
13,1,2012,United,LAX,JFK,6,3,0,0,0,0,267
2,6,2012,United,LAX,ORD,4,-1,0,0,0,0,200
27,4,2012,United,JFK,SFO,0,-10,0,0,0,0,334
7,9,2012,United,LAX,DEN,134,139,0,0,0,0,104
29,12,2012,United,ORD,LAX,10,0,0,0,0,1,206
4,12,2012,United,ORD,DFW,9,-11,0,0,0,1,104
1,9,2012,United,LAX,DEN,9,3,0,0,1,0,97
1,6,2012,United,BOS,DEN,18,10,0,0,0,0,228
22,2,2012,United,SFO,BOS,0,1,0,1,0,0,291
16,5,2012,United,LAX,ORD,171,161,0,0,0,0,192
30,11,2012,United,SFO,LAX,29,30,0,0,0,1,56
27,4,2012,United,ORD,LAX,32,10,0,0,0,0,214
23,3,2012,United,SFO,LAX,0,-14,0,0,0,0,51
2,8,2012,United,LAS,DEN,50,56,0,0,0,0,86
22,5,2012,United,ORD,BOS,0,4,0,0,0,0,121
2,5,2012,United,BOS,ORD,0,-8,0,1,0,0,121
9,2,2012,United,LAX,SFO,,,1,0,0,0,
8,5,2012,United,LAS,LAX,87,81,0,0,0,0,44
6,7,2012,United,ORD,ATL,0,1,0,0,0,0,96
31,1,2012,United,LAX,SFO,44,29,0,1,1,0,56
17,10,2012,United,SFO,BOS,10,13,0,0,1,1,305
13,7,2012,United,EWR,DEN,26,39,0,0,0,0,232
4,2,2012,United,ORD,BOS,0,3,0,0,0,0,120
31,1,2012,United,LAX,BOS,0,-10,0,1,0,0,289
17,1,2012,United,ORD,BOS,0,5,0,0,0,0,117
16,10,2012,United,LAX,SFO,-2,-17,0,0,0,1,50
16,6,2012,United,SFO,ORD,181,228,0,0,0,0,216
10,2,2012,United,LAX,EWR,0,-12,0,1,0,0,270
24,1,2012,United,ORD,MCO,1,5,0,0,1,0,129
4,2,2012,United,BOS,ORD,82,92,0,0,0,0,123
2,6,2012,United,SFO,LAX,80,72,0,0,0,0,55
18,8,2012,United,SFO,LAX,37,29,0,0,0,0,51
21,11,2012,United,LAX,DEN,1,-15,0,0,0,1,102
20,4,2012,United,ORD,ATL,,,1,1,0,0,
25,12,2012,United,LAX,SFO,-2,-29,0,0,0,1,49
13,1,2012,United,BOS,ORD,101,97,0,0,0,0,130
10,3,2012,United,LAX,JFK,0,4,0,0,0,0,275
18,10,2012,United,SFO,LAX,,,1,0,0,1,
7,9,2012,United,EWR,ORD,0,-25,0,0,0,0,105
14,4,2012,United,SFO,DEN,0,2,0,1,1,0,122
11,1,2012,United,ORD,EWR,10,-6,0,0,0,0,92
1,12,2012,United,ORD,EWR,-2,-18,0,1,0,1,88
13,1,2012,United,EWR,DEN,0,42,0,1,0,0,244
1,5,2012,United,BOS,ORD,0,7,0,0,0,0,144
1,6,2012,United,LAX,BOS,72,63,0,0,0,0,288
13,1,2012,United,SFO,DEN,0,-12,0,1,0,0,106
4,12,2012,United,EWR,DEN,1,6,0,0,0,1,240
4,1,2012,United,LAX,DEN,22,22,0,0,0,0,107
17,4,2012,United,BOS,SFO,50,39,0,0,1,0,350
12,1,2012,United,LAS,ORD,38,25,0,0,0,0,158
6,9,2012,United,ORD,DFW,0,-10,0,0,0,0,104
22,12,2012,United,JFK,LAX,25,29,0,0,0,1,339
17,3,2012,United,LAX,EWR,6,15,0,0,1,0,283
11,2,2012,United,EWR,ORD,0,1,0,1,0,0,126
1,8,2012,United,ORD,ATL,22,20,0,0,1,0,86
1,6,2012,United,EWR,LAX,0,-12,0,0,0,0,324
1,11,2012,United,LAX,SFO,-2,-7,0,0,0,1,57
31,5,2012,United,ORD,DEN,30,84,0,0,0,0,138
30,3,2012,United,SFO,DEN,0,-4,0,0,0,0,128
14,9,2012,United,ORD,MCO,19,12,0,1,0,0,133
12,6,2012,United,LAX,LAS,1,2,0,0,0,0,46
2,11,2012,United,LAX,MIA,-2,12,0,0,0,1,258
9,3,2012,United,LAS,ORD,0,3,0,1,0,0,186
27,4,2012,United,SFO,LAX,1,13,0,0,0,0,61
18,10,2012,United,ORD,ATL,-1,-14,0,0,0,1,79
5,6,2012,United,ORD,LAX,66,40,0,0,0,0,215
6,7,2012,United,JFK,SFO,6,30,0,0,0,0,342
1,11,2012,United,LAX,JFK,9,-12,0,0,0,1,269
20,9,2012,United,SFO,LAS,0,4,0,0,0,0,64
2,6,2012,United,BOS,SFO,22,171,0,0,0,0,354
23,10,2012,United,ORD,LAX,-2,1,0,0,0,1,227
22,3,2012,United,LAS,DEN,0,4,0,0,0,0,88
31,7,2012,United,SFO,DEN,14,19,0,1,0,0,125
22,11,2012,United,LAX,BOS,-2,-12,0,0,0,1,283
8,6,2012,United,LAX,EWR,7,-4,0,0,0,0,289
26,1,2012,United,LAS,ORD,3,-12,0,1,0,0,173
9,11,2012,United,LAX,EWR,-2,17,0,0,1,1,293
31,1,2012,United,ORD,MCO,0,5,0,0,0,0,130
25,7,2012,United,ORD,BOS,,,1,0,0,0,
19,9,2012,United,ORD,SFO,44,50,0,0,0,0,247
10,11,2012,United,SFO,LAX,-1,-11,0,1,0,1,53
14,6,2012,United,LAS,LAX,15,16,0,0,0,0,43
13,10,2012,United,ORD,ATL,-2,-9,0,1,0,1,80
14,6,2012,United,SFO,LAX,3,6,0,0,0,0,60
27,3,2012,United,EWR,ORD,0,3,0,0,1,0,123
29,9,2012,United,LAX,DEN,0,-9,0,0,0,0,105
4,8,2012,United,LAS,ORD,74,80,0,0,0,0,176
4,9,2012,United,LAX,ORD,2,-7,0,0,0,0,200
16,2,2012,United,LAS,SFO,2,-5,0,0,1,0,71
9,2,2012,United,ORD,ATL,0,-19,0,0,0,0,80
18,1,2012,United,ORD,LAX,0,18,0,0,1,0,247
20,9,2012,United,ORD,DEN,0,6,0,1,0,0,128
11,10,2012,United,LAX,DEN,13,9,0,1,0,1,107
7,9,2012,United,LAX,SFO,5,-4,0,0,0,0,50
6,9,2012,United,SFO,DEN,0,-7,0,0,0,0,111
27,4,2012,United,SFO,BOS,0,18,0,0,1,0,315
18,10,2012,United,EWR,ORD,-2,-12,0,1,0,1,109
4,1,2012,United,ORD,DEN,36,20,0,0,0,0,118
21,6,2012,United,SFO,ORD,5,30,0,0,1,0,227
4,4,2012,United,LAX,ORD,1,15,0,0,0,0,210
15,11,2012,United,JFK,SFO,-2,-9,0,1,1,1,349
29,5,2012,United,BOS,LAX,2,-9,0,0,0,0,330
9,5,2012,United,LAS,SFO,23,15,0,0,0,0,68
6,1,2012,United,SFO,EWR,0,-10,0,0,0,0,281
19,1,2012,United,ORD,SFO,,,1,0,1,0,
7,12,2012,United,EWR,SFO,52,39,0,0,0,1,335
9,2,2012,United,EWR,ORD,0,-3,0,0,0,0,118
15,9,2012,United,LAX,DEN,,,1,0,0,0,
11,9,2012,United,LAX,SFO,0,0,0,0,0,0,51
20,11,2012,United,ORD,LAS,-2,-9,0,0,0,1,201
27,1,2012,United,ORD,DEN,0,-17,0,0,0,0,112
7,4,2012,United,LAX,DEN,0,-5,0,0,0,0,105
11,4,2012,United,SFO,DEN,0,-3,0,0,0,0,114
24,8,2012,United,ORD,ATL,85,90,0,0,0,0,98
6,9,2012,United,LAS,ORD,0,-18,0,0,0,0,167
29,3,2012,United,LAX,SFO,0,-10,0,0,0,0,54
22,5,2012,United,LAX,ATL,0,15,0,0,1,0,243
21,6,2012,United,ORD,EWR,110,125,0,1,0,0,104
8,12,2012,United,SFO,LAX,-2,14,0,0,1,1,65
11,2,2012,United,ORD,LAS,3,5,0,0,1,0,199
30,6,2012,United,SFO,LAX,40,43,0,0,0,0,53
1,8,2012,United,SFO,LAX,,,1,0,0,0,
19,4,2012,United,LAX,LAS,0,1,0,0,0,0,47
24,5,2012,United,ORD,EWR,9,0,0,0,1,0,84
10,11,2012,United,SFO,BOS,15,11,0,1,1,1,316
26,12,2012,United,LAX,ORD,20,26,0,0,0,1,222
5,9,2012,United,ORD,DFW,,,1,0,0,0,
5,5,2012,United,SFO,LAS,30,20,0,0,0,0,58
27,7,2012,United,JFK,SFO,0,-8,0,1,0,0,325
21,7,2012,United,LAX,SFO,56,79,0,0,1,0,72
1,2,2012,United,LAX,SFO,0,0,0,0,1,0,54
6,4,2012,United,SFO,ORD,35,77,0,0,0,0,217
14,1,2012,United,LAX,ORD,0,0,0,0,0,0,196
18,4,2012,United,ORD,LAS,8,34,0,0,1,0,211
13,11,2012,United,ORD,BOS,3,-6,0,1,0,1,115
17,3,2012,United,JFK,SFO,0,-20,0,1,0,0,332
10,8,2012,United,ORD,ATL,0,-4,0,0,0,0,81
3,8,2012,United,LAX,SFO,2,12,0,0,0,0,48
19,12,2012,United,JFK,SFO,2,5,0,0,0,1,353
20,6,2012,United,LAS,DEN,0,-5,0,0,0,0,80
6,4,2012,United,EWR,SFO,9,45,0,0,0,0,362
23,8,2012,United,SFO,LAX,21,27,0,0,0,0,58
12,12,2012,United,SFO,JFK,157,128,0,1,0,1,274
3,2,2012,United,SFO,LAX,17,62,0,1,0,0,56
23,3,2012,United,EWR,SFO,0,6,0,0,0,0,336
22,2,2012,United,JFK,BOS,3,23,0,0,0,0,46
10,5,2012,United,LAS,DEN,0,3,0,0,0,0,79
28,7,2012,United,SFO,EWR,0,2,0,0,1,0,293
