Day_of_Month,Month,year,Airline,Origin,Destination,Departure_Delay,Arrival_Delay,Cancelled,Rain_at_Origin,Rain_at_Dest,Incentive_Pay,Time_in_Air
9,3,2012,United,SFO,LAX,16,12,0,1,1,0,49
16,11,2012,United,JFK,SFO,2,-17,0,0,1,1,331
14,8,2012,United,SFO,DEN,0,-5,0,0,0,0,114
20,12,2012,United,LAS,DEN,1,-2,0,0,0,1,84
21,3,2012,United,LAX,ORD,0,-2,0,0,0,0,208
14,3,2012,United,ORD,DEN,0,4,0,1,0,0,135
24,1,2012,United,LAX,SFO,,,1,1,1,0,
25,7,2012,United,ORD,BOS,45,69,0,0,0,0,120
14,2,2012,United,LAS,DEN,10,-1,0,0,0,0,76
15,2,2012,United,LAS,SFO,20,8,0,0,1,0,65
30,6,2012,United,ORD,LAX,6,34,0,0,0,0,223
28,4,2012,United,SFO,ORD,0,1,0,0,0,0,219
29,8,2012,United,SFO,ORD,0,7,0,1,0,0,207
21,2,2012,United,LAS,ORD,0,-10,0,1,0,0,168
28,9,2012,United,LAS,DEN,17,11,0,0,0,0,83
15,6,2012,United,SFO,LAX,5,-3,0,0,0,0,57
26,10,2012,United,SFO,BOS,-2,-13,0,1,0,1,309
3,1,2012,United,LAX,ORD,9,0,0,0,0,0,206
26,7,2012,United,ORD,BOS,,,1,0,0,0,
24,3,2012,United,JFK,LAX,0,-15,0,0,0,0,321
16,5,2012,United,JFK,SFO,0,50,0,0,1,0,395
6,12,2012,United,SFO,LAX,-2,-4,0,0,0,1,60
26,7,2012,United,LAX,SFO,38,61,0,0,0,0,79
20,12,2012,United,SFO,LAX,14,9,0,0,0,1,50
22,3,2012,United,SFO,DEN,0,6,0,0,0,0,122
5,1,2012,United,SFO,LAS,0,-5,0,0,0,0,60
13,6,2012,United,LAS,SFO,1,-2,0,0,0,0,69
13,4,2012,United,LAX,ORD,8,0,0,0,0,0,199
13,4,2012,United,LAX,LAS,9,11,0,0,0,0,39
17,3,2012,United,LAX,JFK,0,6,0,0,1,0,291
29,12,2012,United,ORD,DEN,92,86,0,0,0,1,114
5,5,2012,United,JFK,LAX,0,-21,0,1,0,0,301
28,1,2012,United,BOS,ORD,30,19,0,0,0,0,127
11,12,2012,United,LAX,DFW,-2,-6,0,0,0,1,153
27,6,2012,United,LAS,SFO,0,-9,0,0,0,0,62
18,2,2012,United,SFO,LAX,46,48,0,0,0,0,52
28,12,2012,United,JFK,LAX,10,-4,0,0,0,1,325
25,7,2012,United,ORD,SFO,5,23,0,0,0,0,238
22,9,2012,United,SFO,LAX,112,113,0,1,0,0,58
27,3,2012,United,LAS,LAX,0,7,0,0,0,0,43
31,7,2012,United,SFO,BOS,59,66,0,1,1,0,315
14,2,2012,United,SFO,ORD,0,-30,0,1,0,0,186
29,11,2012,United,LAX,ORD,8,19,0,0,1,1,210
3,5,2012,United,EWR,ORD,2,-15,0,0,0,0,111
19,1,2012,United,SFO,ORD,,,1,1,0,0,
29,3,2012,United,SFO,LAX,0,-7,0,0,0,0,49
19,6,2012,United,LAX,ORD,2,14,0,0,0,0,209
22,9,2012,United,LAX,LAS,10,11,0,0,0,0,39
14,7,2012,United,SFO,ORD,,,1,0,0,0,
10,5,2012,United,ORD,LAX,10,7,0,1,0,0,231
13,7,2012,United,ORD,LAX,132,108,0,1,0,0,206
11,1,2012,United,SFO,LAX,96,98,0,1,0,0,51
11,9,2012,United,LAX,SFO,5,-6,0,0,0,0,48
28,8,2012,United,LAX,DEN,0,-2,0,0,0,0,110
